i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,split,status,score,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,aligned_gt@1,gt@1,preds_gt@1,score@1,aligned_gt@5,gt@5,preds_gt@5,score@5,aligned_gt@10,gt@10,preds_gt@10,score@10,aligned_gt@20,gt@20,preds_gt@20,score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
170,genetic,None,"1218,410,634,167,65,180,34,424,227,97,611,947,558,448,268,317,303,38,948,592,893,208,286,194,526,1101,16,234,96,358,25,104,78,205,90,11,566,407,365,648,553,142,645,874,696,26,137,863,404,61","1218,410,634,167,65,180,34,424,227,97,611,947,558,448,268,317,303,38,948,592,893,208,286,194,526,1101,16,234,96,358,25,104,38,205,90,11,566,407,365,648,553,142,645,874,696,26,137,863,404,61",None,1,None,None,212.807,None,None,None,None,365,453,None,0,None,"365,453,404,96,141","453,365,404,96,137",None,0.592,None,"365,453,404,96,141,13,176,24,137,61","453,365,404,96,137,24,141,13,771,176",None,0.491,None,"365,453,404,96,141,13,176,24,137,61,78,771,69,158,863,407,502,88,553,104","453,365,404,96,137,24,141,13,771,176,69,553,531,407,88,78,26,104,61,863",None,0.392,None,"(None, 10, 0)",None,None,"1218,410,634,167,65,180,34,424,227,97,611,947,558,448,268,317,303,38,948,592,893,208,286,194,526,1101,16,234,96,358,25,104,78,205,90,11,566,407,365,648,553,142,645,874,696,26,137,863,404,61","1218,410,634,167,65,180,34,424,227,97,611,947,558,448,268,317,303,38,948,592,893,208,286,194,526,1101,16,234,96,358,25,104,78,205,90,11,566,407,365,648,553,142,645,874,696,26,137,863,404,217","sync_1218,sync_410,sync_634,sync_167,sync_65,sync_180,sync_34,sync_424,sync_227,sync_97,sync_611,sync_947,sync_558,sync_448,sync_268,sync_317,sync_303,sync_38,sync_948,sync_592,sync_893,sync_208,sync_286,sync_194,sync_526,sync_1101,sync_16,sync_234,sync_96,sync_358,sync_25,sync_104,sync_78,sync_205,sync_90,sync_11,sync_566,sync_407,sync_365,sync_648,sync_553,sync_142,sync_645,sync_874,sync_696,sync_26,sync_137,sync_863,sync_404,add_217,del_61",1,None,None,None,93.995,None,157,453,None,0,"157,32,514,7,30","453,365,404,96,137",None,0.0,"157,32,514,7,30,865,365,312,404,863","453,365,404,96,137,24,141,13,771,176",None,0.039,"157,32,514,7,30,865,365,312,404,863,453,395,183,539,257,119,137,24,493,13","453,365,404,96,137,24,141,13,771,176,69,553,531,407,88,78,26,104,61,863",None,0.053,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
171,genetic,None,"159,197,268,553,64,205,708,87,18,414,372,69,696,107,121,137,24,141,307,182,1211,243,78,166,404,453,234,299,199,772,508,26,1012,648,132,1040,279,556,578,417,871,382,389,1037,627,894,487,1092,465,337","159,197,268,553,64,205,708,87,18,414,372,69,696,107,121,137,24,141,307,182,1211,243,78,166,404,453,234,299,199,772,508,26,1012,648,132,1040,279,556,578,417,871,382,389,1037,627,894,487,1092,435,337",None,1,None,None,287.117,None,None,None,None,444,394,None,0,None,"444,394,524,1012,657","394,444,1092,837,382",None,0.277,None,"444,394,524,1012,657,281,1198,894,333,465","394,444,1092,837,382,769,371,524,41,281",None,0.204,None,"444,394,524,1012,657,281,1198,894,333,465,573,41,107,873,850,775,302,778,416,769","394,444,1092,837,382,769,371,524,41,281,850,1198,511,775,1012,1191,778,721,302,255",None,0.203,None,"(None, 10, 0)",None,None,"159,197,268,553,64,205,708,87,18,414,372,69,696,107,121,137,24,141,307,182,1211,243,78,166,404,453,234,299,199,772,508,26,1012,648,132,1040,279,556,578,417,871,382,389,1037,627,894,487,1092,465,337","159,197,268,553,64,205,708,87,18,414,372,69,696,107,121,137,24,141,307,182,1211,243,78,166,404,453,234,299,199,772,508,26,1012,648,132,1040,279,556,578,417,871,382,389,1037,627,894,487,1092,465,337","sync_159,sync_197,sync_268,sync_553,sync_64,sync_205,sync_708,sync_87,sync_18,sync_414,sync_372,sync_69,sync_696,sync_107,sync_121,sync_137,sync_24,sync_141,sync_307,sync_182,sync_1211,sync_243,sync_78,sync_166,sync_404,sync_453,sync_234,sync_299,sync_199,sync_772,sync_508,sync_26,sync_1012,sync_648,sync_132,sync_1040,sync_279,sync_556,sync_578,sync_417,sync_871,sync_382,sync_389,sync_1037,sync_627,sync_894,sync_487,sync_1092,sync_465,sync_337",0,None,None,None,39.58,None,394,394,None,1,"394,444,1092,837,382","394,444,1092,837,382",None,1.0,"394,444,1092,837,382,769,371,524,41,281","394,444,1092,837,382,769,371,524,41,281",None,1.0,"394,444,1092,837,382,769,371,524,41,281,850,1198,511,775,1012,1191,778,721,302,255","394,444,1092,837,382,769,371,524,41,281,850,1198,511,775,1012,1191,778,721,302,255",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
172,genetic,None,"354,140,105,1117,595,253,1168,891,945,716,1230,31,178,78,152,59,799,859,279,12,36,532,677,972,299,770,524,657,168,556,511,1190,166,1014,935,247,1092,416,769,468,707,705,52,1225,652,873,175,37,157,231","354,140,105,1511,595,253,1168,891,945,716,1230,31,178,78,152,59,799,859,279,12,36,532,677,972,299,770,524,657,168,556,511,1190,166,1014,935,247,1092,416,769,468,707,705,52,1225,652,873,175,37,157,231",None,1,None,None,323.134,None,None,None,None,240,409,None,0,None,"240,409,102,201,192","409,240,102,162,201",None,0.512,None,"240,409,102,201,192,162,67,312,217,580","409,240,102,162,201,192,217,312,157,67",None,0.513,None,"240,409,102,201,192,162,67,312,217,580,32,157,101,103,113,241,357,50,358,278","409,240,102,162,201,192,217,312,157,67,103,113,218,23,175,32,357,358,230,360",None,0.418,None,"(None, 10, 0)",None,None,"354,140,105,1117,595,253,1168,891,945,716,1230,31,178,78,152,59,799,859,279,12,36,532,677,972,299,770,524,657,168,556,511,1190,166,1014,935,247,1092,416,769,468,707,705,52,1225,652,873,175,37,157,231","354,140,105,1117,595,253,1168,891,945,716,1230,31,178,78,152,59,799,859,279,12,36,532,677,972,299,770,524,657,168,556,511,1190,166,1014,935,247,1092,416,769,468,707,705,52,1225,652,873,175,37,157,94","sync_354,sync_140,sync_105,sync_1117,sync_595,sync_253,sync_1168,sync_891,sync_945,sync_716,sync_1230,sync_31,sync_178,sync_78,sync_152,sync_59,sync_799,sync_859,sync_279,sync_12,sync_36,sync_532,sync_677,sync_972,sync_299,sync_770,sync_524,sync_657,sync_168,sync_556,sync_511,sync_1190,sync_166,sync_1014,sync_935,sync_247,sync_1092,sync_416,sync_769,sync_468,sync_707,sync_705,sync_52,sync_1225,sync_652,sync_873,sync_175,sync_37,sync_157,add_94,del_231",1,None,None,None,95.694,None,409,409,None,1,"409,102,240,162,217","409,240,102,162,201",None,0.677,"409,102,240,162,217,192,201,113,103,312","409,240,102,162,201,192,217,312,157,67",None,0.594,"409,102,240,162,217,192,201,113,103,312,157,23,218,357,67,360,32,298,175,230","409,240,102,162,201,192,217,312,157,67,103,113,218,23,175,32,357,358,230,360",None,0.53,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
173,genetic,None,"96,61,332,243,149,404,78,874,503,50,410,141,502,401,491,121,407,1077,268,179,935,137,197,1078,1317,1198,724,79,506,114,201,726,937,636,437,6,257,187,767,175,497,308,860,865","96,61,332,243,149,404,78,874,503,50,410,141,502,401,491,121,407,1077,268,179,938,137,197,1078,1317,1198,724,79,506,114,201,726,937,636,437,6,257,187,767,175,497,308,860,865",None,1,None,None,203.082,None,None,None,None,146,983,None,0,None,"146,983,724,119,695","983,724,239,175,146",None,0.303,None,"146,983,724,119,695,391,276,239,67,175","983,724,239,175,146,259,119,67,437,897",None,0.281,None,"146,983,724,119,695,391,276,239,67,175,437,259,966,241,102,63,937,278,1461,162","983,724,239,175,146,259,119,67,437,897,391,612,35,695,79,276,241,829,619,796",None,0.225,None,"(None, 10, 0)",None,None,"96,61,332,243,149,404,78,874,503,50,410,141,502,401,491,121,407,1077,268,179,935,137,197,1078,1317,1198,724,79,506,114,201,726,937,636,437,6,257,187,767,175,497,308,860,865","96,61,332,243,149,404,78,874,503,50,410,141,502,401,491,121,407,1077,268,179,935,137,197,1078,1317,1198,724,79,506,114,201,726,937,636,437,6,257,187,767,175,497,308,860,91,-1,-1,-1,-1,-1,-1","sync_96,sync_61,sync_332,sync_243,sync_149,sync_404,sync_78,sync_874,sync_503,sync_50,sync_410,sync_141,sync_502,sync_401,sync_491,sync_121,sync_407,sync_1077,sync_268,sync_179,sync_935,sync_137,sync_197,sync_1078,sync_1317,sync_1198,sync_724,sync_79,sync_506,sync_114,sync_201,sync_726,sync_937,sync_636,sync_437,sync_6,sync_257,sync_187,sync_767,sync_175,sync_497,sync_308,sync_860,add_91,del_865",1,None,None,None,167.189,None,612,983,None,0,"612,239,175,276,983","983,724,239,175,146",None,0.226,"612,239,175,276,983,695,35,221,111,146","983,724,239,175,146,259,119,67,437,897",None,0.161,"612,239,175,276,983,695,35,221,111,146,119,162,391,937,829,102,298,539,278,724","983,724,239,175,146,259,119,67,437,897,391,612,35,695,79,276,241,829,619,796",None,0.155,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
174,genetic,None,"290,2,492,73,244,653,176,96,99,49,269,118,1024,145,52,44,900,105,756,1168","290,2,492,73,244,653,176,96,99,49,269,1184,1024,145,52,44,900,105,756,1168",None,1,None,None,198.895,None,None,None,None,49,1003,None,0,None,"49,269,929,931,340","1003,49,931,340,269",None,0.298,None,"49,269,929,931,340,44,1003,117,520,99","1003,49,931,340,269,326,117,44,628,929",None,0.292,None,"49,269,929,931,340,44,1003,117,520,99,595,86,326,861,392,140,361,344,405,1193","1003,49,931,340,269,326,117,44,628,929,520,1193,595,336,392,86,892,99,361,344",None,0.293,None,"(None, 10, 0)",None,None,"290,2,492,73,244,653,176,96,99,49,269,118,1024,145,52,44,900,105,756,1168","290,2,492,73,244,653,176,96,99,49,269,118,1024,145,52,44,900,105,756,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_290,sync_2,sync_492,sync_73,sync_244,sync_653,sync_176,sync_96,sync_99,sync_49,sync_269,sync_118,sync_1024,sync_145,sync_52,sync_44,sync_900,sync_105,sync_756,add_94,del_1168",1,None,None,None,124.385,None,167,1003,None,0,"167,49,109,269,201","1003,49,931,340,269",None,0.28,"167,49,109,269,201,437,261,368,1561,240","1003,49,931,340,269,326,117,44,628,929",None,0.181,"167,49,109,269,201,437,261,368,1561,240,343,653,259,222,623,405,322,289,562,990","1003,49,931,340,269,326,117,44,628,929,520,1193,595,336,392,86,892,99,361,344",None,0.117,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
175,genetic,None,"1055,1119,213,16,599,939,3,1228,1020,81,938,364,835,858,528,384,359,962,38,647,527,1090,1149,1384,209,163,373,712,1366,311,1227,1022,1153,1158,515,744,946,309,1383,228,814,561,454,976,657,446,465,801,1541,925","1055,1119,213,16,599,939,3,1228,1020,81,938,364,835,858,528,384,359,962,38,637,527,1090,1149,1384,209,163,373,712,1366,311,1227,1022,1153,1158,515,744,946,309,1383,228,814,561,454,976,657,446,465,801,1541,925",None,1,None,None,226.787,None,None,None,None,169,459,None,0,None,"169,814,459,935,413","459,169,935,629,382",None,0.305,None,"169,814,459,935,413,629,191,314,999,417","459,169,935,629,382,814,314,413,191,999",None,0.353,None,"169,814,459,935,413,629,191,314,999,417,686,206,382,364,972,800,833,801,160,1541","459,169,935,629,382,814,314,413,191,999,417,800,972,206,364,511,420,160,833,801",None,0.342,None,"(None, 10, 0)",None,None,"1055,1119,213,16,599,939,3,1228,1020,81,938,364,835,858,528,384,359,962,38,647,527,1090,1149,1384,209,163,373,712,1366,311,1227,1022,1153,1158,515,744,946,309,1383,228,814,561,454,976,657,446,465,801,1541,925","1055,1119,213,16,599,939,3,1228,1020,81,938,364,835,858,528,384,359,962,38,647,527,1090,1149,1384,209,163,373,712,1366,311,1227,1022,1153,1158,515,744,946,309,1383,228,814,561,454,976,657,446,465,801,1541,925","sync_1055,sync_1119,sync_213,sync_16,sync_599,sync_939,sync_3,sync_1228,sync_1020,sync_81,sync_938,sync_364,sync_835,sync_858,sync_528,sync_384,sync_359,sync_962,sync_38,sync_647,sync_527,sync_1090,sync_1149,sync_1384,sync_209,sync_163,sync_373,sync_712,sync_1366,sync_311,sync_1227,sync_1022,sync_1153,sync_1158,sync_515,sync_744,sync_946,sync_309,sync_1383,sync_228,sync_814,sync_561,sync_454,sync_976,sync_657,sync_446,sync_465,sync_801,sync_1541,sync_925",0,None,None,None,1.416,None,459,459,None,1,"459,169,935,629,382","459,169,935,629,382",None,1.0,"459,169,935,629,382,814,314,413,191,999","459,169,935,629,382,814,314,413,191,999",None,1.0,"459,169,935,629,382,814,314,413,191,999,417,800,972,206,364,511,420,160,833,801","459,169,935,629,382,814,314,413,191,999,417,800,972,206,364,511,420,160,833,801",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
176,genetic,None,"867,126,507,813,239,983,235,433,276,457,138,661,607,889,23,331,320,906,795,51,604,535,619,210,897,541,754,475,751,601,796,491,670,330,969,227,1064,878,363,768,588,592,14,257,101,250,319,688,252,96","867,126,507,813,239,983,235,433,276,457,138,661,607,889,23,331,320,906,795,51,604,535,619,210,970,541,754,475,751,601,796,491,670,330,969,227,1064,878,363,768,588,592,14,257,101,250,319,688,252,96",None,1,None,None,201.102,None,None,None,None,308,785,None,0,None,"308,785,375,734,476","785,308,375,222,1202",None,0.446,None,"308,785,375,734,476,222,52,340,768,791","785,308,375,222,1202,734,340,768,34,476",None,0.429,None,"308,785,375,734,476,222,52,340,768,791,1202,861,566,61,492,348,623,653,34,13","785,308,375,222,1202,734,340,768,34,476,52,861,600,791,262,61,623,569,492,653",None,0.405,None,"(None, 10, 0)",None,None,"867,126,507,813,239,983,235,433,276,457,138,661,607,889,23,331,320,906,795,51,604,535,619,210,897,541,754,475,751,601,796,491,670,330,969,227,1064,878,363,768,588,592,14,257,101,250,319,688,252,96","867,126,507,813,239,983,235,433,276,457,138,661,607,889,23,331,320,906,795,51,604,535,619,210,897,541,754,475,751,601,796,491,670,330,969,227,1064,878,363,768,588,592,14,257,101,250,319,688,252,1527","sync_867,sync_126,sync_507,sync_813,sync_239,sync_983,sync_235,sync_433,sync_276,sync_457,sync_138,sync_661,sync_607,sync_889,sync_23,sync_331,sync_320,sync_906,sync_795,sync_51,sync_604,sync_535,sync_619,sync_210,sync_897,sync_541,sync_754,sync_475,sync_751,sync_601,sync_796,sync_491,sync_670,sync_330,sync_969,sync_227,sync_1064,sync_878,sync_363,sync_768,sync_588,sync_592,sync_14,sync_257,sync_101,sync_250,sync_319,sync_688,sync_252,add_1527,del_96",1,None,None,None,106.704,None,319,785,None,0,"319,1439,83,222,385","785,308,375,222,1202",None,0.146,"319,1439,83,222,385,136,476,751,1025,924","785,308,375,222,1202,734,340,768,34,476",None,0.111,"319,1439,83,222,385,136,476,751,1025,924,92,481,897,768,272,167,982,436,274,155","785,308,375,222,1202,734,340,768,34,476,52,861,600,791,262,61,623,569,492,653",None,0.078,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
177,genetic,None,"1060,796,187,300,101,1023,1073,1048,724,175,50,1288,58,582,534,231,186,1017,316,138,360,674,68,35,1002,885,751,22,301,217,67,623,695,356,754,119,157,612,385,362,6,259,1091,568,730,780,990,909,940,768","1060,796,187,300,101,1023,1073,1048,724,175,50,1288,58,582,534,231,186,1017,316,138,360,674,68,35,1002,885,751,22,301,217,67,623,695,356,754,119,157,612,385,362,6,259,1091,568,730,790,990,909,940,768",None,1,None,None,217.194,None,None,None,None,109,990,None,0,None,"109,990,497,239,187","990,109,497,274,186",None,0.446,None,"109,990,497,239,187,274,542,186,240,358","990,109,497,274,186,358,857,67,37,240",None,0.39,None,"109,990,497,239,187,274,542,186,240,358,661,242,67,37,857,885,695,106,255,639","990,109,497,274,186,358,857,67,37,240,368,242,542,222,187,72,255,575,201,320",None,0.33,None,"(None, 10, 0)",None,None,"1060,796,187,300,101,1023,1073,1048,724,175,50,1288,58,582,534,231,186,1017,316,138,360,674,68,35,1002,885,751,22,301,217,67,623,695,356,754,119,157,612,385,362,6,259,1091,568,730,780,990,909,940,768","1060,796,187,300,101,1023,1073,1048,724,175,50,1288,58,582,534,231,186,1017,316,138,360,674,68,35,1002,885,751,22,301,217,67,623,695,356,754,119,157,612,385,362,6,259,1091,568,730,780,990,909,940,25","sync_1060,sync_796,sync_187,sync_300,sync_101,sync_1023,sync_1073,sync_1048,sync_724,sync_175,sync_50,sync_1288,sync_58,sync_582,sync_534,sync_231,sync_186,sync_1017,sync_316,sync_138,sync_360,sync_674,sync_68,sync_35,sync_1002,sync_885,sync_751,sync_22,sync_301,sync_217,sync_67,sync_623,sync_695,sync_356,sync_754,sync_119,sync_157,sync_612,sync_385,sync_362,sync_6,sync_259,sync_1091,sync_568,sync_730,sync_780,sync_990,sync_909,sync_940,add_25,del_768",1,None,None,None,107.963,None,639,990,None,0,"639,320,186,35,32","990,109,497,274,186",None,0.044,"639,320,186,35,32,190,624,241,92,50","990,109,497,274,186,358,857,67,37,240",None,0.028,"639,320,186,35,32,190,624,241,92,50,37,109,97,201,175,226,221,274,119,358","990,109,497,274,186,358,857,67,37,240,368,242,542,222,187,72,255,575,201,320",None,0.055,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
178,genetic,None,"503,365,502,104,137,337,526,874,205,69,87,648,614,84,935,174,366,491,341,229,696,26,1559,404,107,78,279,652,243,24,770,553,299,826,524,1211,677,877,403,210,121,50,260,433,453,25","503,365,502,1204,137,337,526,874,205,69,87,648,614,84,935,174,366,491,341,229,696,26,1559,404,107,78,279,652,243,24,770,553,299,826,524,1211,677,877,403,210,121,50,260,433,453,25",None,1,None,None,215.643,None,None,None,None,696,863,None,0,None,"696,104,531,863,25","863,696,531,104,1164",None,0.41,None,"696,104,531,863,25,1164,243,149,433,210","863,696,531,104,1164,243,502,874,433,210",None,0.478,None,"696,104,531,863,25,1164,243,149,433,210,502,738,874,856,356,84,644,199,417,740","863,696,531,104,1164,243,502,874,433,210,856,1040,738,417,25,149,862,356,84,453",None,0.384,None,"(None, 10, 0)",None,None,"503,365,502,104,137,337,526,874,205,69,87,648,614,84,935,174,366,491,341,229,696,26,1559,404,107,78,279,652,243,24,770,553,299,826,524,1211,677,877,403,210,121,50,260,433,453,25","503,365,502,104,137,337,526,874,205,69,87,648,614,84,935,174,366,491,341,229,696,26,1559,404,107,78,279,652,243,24,770,553,299,826,524,1211,677,877,403,210,121,50,260,433,453,25,-1,-1,-1,-1","sync_503,sync_365,sync_502,sync_104,sync_137,sync_337,sync_526,sync_874,sync_205,sync_69,sync_87,sync_648,sync_614,sync_84,sync_935,sync_174,sync_366,sync_491,sync_341,sync_229,sync_696,sync_26,sync_1559,sync_404,sync_107,sync_78,sync_279,sync_652,sync_243,sync_24,sync_770,sync_553,sync_299,sync_826,sync_524,sync_1211,sync_677,sync_877,sync_403,sync_210,sync_121,sync_50,sync_260,sync_433,sync_453,sync_25",0,None,None,None,33.145,None,863,863,None,1,"863,696,531,104,1164","863,696,531,104,1164",None,1.0,"863,696,531,104,1164,243,502,874,433,210","863,696,531,104,1164,243,502,874,433,210",None,1.0,"863,696,531,104,1164,243,502,874,433,210,856,1040,738,417,25,149,862,356,84,453","863,696,531,104,1164,243,502,874,433,210,856,1040,738,417,25,149,862,356,84,453",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
179,genetic,None,"118,611,37,368,276,119,983,796,489,59,113,661,13,239,952,111,136,79,411,694,630,817,6,103,385,425,819,69,175,695,585,539,23,183,102,889,885,242,457,66,289,126,390,308,32","118,611,37,368,276,119,983,796,489,59,113,661,13,239,952,111,136,79,411,694,630,817,6,103,385,425,819,69,175,695,585,539,23,183,102,889,885,242,457,66,429,126,390,308,32",None,1,None,None,205.123,None,None,None,None,183,6,None,0,None,"183,92,113,257,162","6,368,167,183,126",None,0.037,None,"183,92,113,257,162,6,126,102,53,623","6,368,167,183,126,32,257,248,278,92",None,0.114,None,"183,92,113,257,162,6,126,102,53,623,368,1091,100,32,167,175,101,312,187,157","6,368,167,183,126,32,257,248,278,92,289,390,89,113,100,330,562,162,97,102",None,0.113,None,"(None, 10, 0)",None,None,"118,611,37,368,276,119,983,796,489,59,113,661,13,239,952,111,136,79,411,694,630,817,6,103,385,425,819,69,175,695,585,539,23,183,102,889,885,242,457,66,289,126,390,308,32","118,611,37,368,276,119,983,796,489,59,113,661,13,239,952,111,136,79,411,694,630,817,6,103,385,425,819,69,175,695,585,539,23,183,102,889,885,242,457,66,289,126,390,308,301,-1,-1,-1,-1,-1","sync_118,sync_611,sync_37,sync_368,sync_276,sync_119,sync_983,sync_796,sync_489,sync_59,sync_113,sync_661,sync_13,sync_239,sync_952,sync_111,sync_136,sync_79,sync_411,sync_694,sync_630,sync_817,sync_6,sync_103,sync_385,sync_425,sync_819,sync_69,sync_175,sync_695,sync_585,sync_539,sync_23,sync_183,sync_102,sync_889,sync_885,sync_242,sync_457,sync_66,sync_289,sync_126,sync_390,sync_308,add_301,del_32",1,None,None,None,139.74,None,92,6,None,0,"92,278,368,481,97","6,368,167,183,126",None,0.107,"92,278,368,481,97,167,489,289,32,217","6,368,167,183,126,32,257,248,278,92",None,0.131,"92,278,368,481,97,167,489,289,32,217,106,817,102,390,1116,50,113,232,186,343","6,368,167,183,126,32,257,248,278,92,289,390,89,113,100,330,562,162,97,102",None,0.123,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
180,genetic,None,"248,374,658,113,30,434,1462,736,54,500,255,387,257,84,241,119,400,291,530,853,817,123,284,192,23,102,111,1077,406,346,218,896,414,720,262,99,340,332,732,86,114,25,270,281,752,493,961,756,638,74","248,374,658,113,30,434,1462,736,54,500,255,387,257,84,241,119,400,291,530,853,817,123,284,192,23,102,111,1077,406,346,218,896,414,720,262,99,340,332,732,86,114,25,270,281,752,493,961,756,386,74",None,1,None,None,278.393,None,None,None,None,959,31,None,0,None,"959,253,270,281,357","31,154,638,281,74",None,0.146,None,"959,253,270,281,357,1020,99,530,230,140","31,154,638,281,74,190,178,424,105,882",None,0.095,None,"959,253,270,281,357,1020,99,530,230,140,1024,682,575,840,500,86,765,882,1055,167","31,154,638,281,74,190,178,424,105,882,140,262,720,86,555,752,116,11,270,182",None,0.1,None,"(None, 10, 0)",None,None,"248,374,658,113,30,434,1462,736,54,500,255,387,257,84,241,119,400,291,530,853,817,123,284,192,23,102,111,1077,406,346,218,896,414,720,262,99,340,332,732,86,114,25,270,281,752,493,961,756,638,74","248,374,658,113,30,434,1462,736,54,500,255,387,257,84,241,119,400,291,530,853,817,123,284,192,23,102,111,1077,406,346,218,896,414,720,262,99,340,332,732,86,114,25,270,281,752,493,961,756,638,11","sync_248,sync_374,sync_658,sync_113,sync_30,sync_434,sync_1462,sync_736,sync_54,sync_500,sync_255,sync_387,sync_257,sync_84,sync_241,sync_119,sync_400,sync_291,sync_530,sync_853,sync_817,sync_123,sync_284,sync_192,sync_23,sync_102,sync_111,sync_1077,sync_406,sync_346,sync_218,sync_896,sync_414,sync_720,sync_262,sync_99,sync_340,sync_332,sync_732,sync_86,sync_114,sync_25,sync_270,sync_281,sync_752,sync_493,sync_961,sync_756,sync_638,add_11,del_74",1,None,None,None,121.043,None,31,31,None,1,"31,154,12,383,555","31,154,638,281,74",None,0.553,"31,154,12,383,555,74,178,720,86,270","31,154,638,281,74,190,178,424,105,882",None,0.475,"31,154,12,383,555,74,178,720,86,270,306,524,281,262,492,502,673,840,253,682","31,154,638,281,74,190,178,424,105,882,140,262,720,86,555,752,116,11,270,182",None,0.344,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
